variation_fee_begin	mineral_item_id=36731	fee_item_id=19440	fee_item_count=118	fee_adena=6485800	cancel_fee=6485800	variation_fee_end
variation_fee_begin	mineral_item_id=82394	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=82395	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=82396	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=82397	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=82398	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=82399	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8723	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8724	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8725	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8726	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8727	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8728	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8729	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8730	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8731	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8732	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8733	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8734	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8735	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8736	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8737	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8738	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8739	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8740	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8741	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8742	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8743	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8744	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8745	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8746	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8747	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8748	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8749	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8750	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8751	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8752	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8753	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8754	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8755	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8756	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8757	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8758	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8759	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8760	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8761	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=8762	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=9573	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=9574	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=9575	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=9576	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=10483	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=10484	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=10485	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=10486	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=12754	fee_item_id=2133	fee_item_count=236	fee_adena=9622600	cancel_fee=9622600	variation_fee_end
variation_fee_begin	mineral_item_id=12755	fee_item_id=2133	fee_item_count=236	fee_adena=9622600	cancel_fee=9622600	variation_fee_end
variation_fee_begin	mineral_item_id=12756	fee_item_id=2133	fee_item_count=236	fee_adena=9622600	cancel_fee=9622600	variation_fee_end
variation_fee_begin	mineral_item_id=12757	fee_item_id=2133	fee_item_count=236	fee_adena=9622600	cancel_fee=9622600	variation_fee_end
variation_fee_begin	mineral_item_id=12758	fee_item_id=2133	fee_item_count=236	fee_adena=9622600	cancel_fee=9622600	variation_fee_end
variation_fee_begin	mineral_item_id=12759	fee_item_id=2133	fee_item_count=236	fee_adena=9622600	cancel_fee=9622600	variation_fee_end
variation_fee_begin	mineral_item_id=12760	fee_item_id=2133	fee_item_count=236	fee_adena=9622600	cancel_fee=9622600	variation_fee_end
variation_fee_begin	mineral_item_id=12761	fee_item_id=2133	fee_item_count=236	fee_adena=9622600	cancel_fee=9622600	variation_fee_end
variation_fee_begin	mineral_item_id=12762	fee_item_id=2133	fee_item_count=236	fee_adena=9622600	cancel_fee=9622600	variation_fee_end
variation_fee_begin	mineral_item_id=12763	fee_item_id=2133	fee_item_count=236	fee_adena=9622600	cancel_fee=9622600	variation_fee_end
variation_fee_begin	mineral_item_id=12821	fee_item_id=2133	fee_item_count=236	fee_adena=9622600	cancel_fee=9622600	variation_fee_end
variation_fee_begin	mineral_item_id=14008	fee_item_id=2133	fee_item_count=236	fee_adena=9622600	cancel_fee=9622600	variation_fee_end
variation_fee_begin	mineral_item_id=14166	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=14167	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=14168	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=14169	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=16160	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=16161	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=16162	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=16163	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=16164	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=16165	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=16166	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=16167	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=16177	fee_item_id=2133	fee_item_count=236	fee_adena=9622600	cancel_fee=9622600	variation_fee_end
variation_fee_begin	mineral_item_id=16178	fee_item_id=2133	fee_item_count=236	fee_adena=9622600	cancel_fee=9622600	variation_fee_end
variation_fee_begin	mineral_item_id=18563	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=18564	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=18565	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=18566	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=18568	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=18569	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=18570	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=18571	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=18573	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=18574	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=18575	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=18576	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=19166	fee_item_id=2133	fee_item_count=236	fee_adena=9622600	cancel_fee=9622600	variation_fee_end
variation_fee_begin	mineral_item_id=19167	fee_item_id=2133	fee_item_count=236	fee_adena=9622600	cancel_fee=9622600	variation_fee_end
variation_fee_begin	mineral_item_id=19168	fee_item_id=2133	fee_item_count=236	fee_adena=9622600	cancel_fee=9622600	variation_fee_end
variation_fee_begin	mineral_item_id=22629	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=22630	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=22631	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=22632	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=22633	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=22634	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=23800	fee_item_id=2133	fee_item_count=26	fee_adena=2400000	cancel_fee=2400000	variation_fee_end
variation_fee_begin	mineral_item_id=23801	fee_item_id=2133	fee_item_count=26	fee_adena=2400000	cancel_fee=2400000	variation_fee_end
variation_fee_begin	mineral_item_id=23802	fee_item_id=2133	fee_item_count=26	fee_adena=2400000	cancel_fee=2400000	variation_fee_end
variation_fee_begin	mineral_item_id=27584	fee_item_id=2132	fee_item_count=1	fee_adena=100	cancel_fee=100	variation_fee_end
variation_fee_begin	mineral_item_id=33819	fee_item_id=2133	fee_item_count=26	fee_adena=2400000	cancel_fee=2400000	variation_fee_end
variation_fee_begin	mineral_item_id=34001	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=34002	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=34003	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=34004	fee_item_id=19440	fee_item_count=7	fee_adena=12650000	cancel_fee=12650000	variation_fee_end
variation_fee_begin	mineral_item_id=34941	fee_item_id=2133	fee_item_count=26	fee_adena=2400000	cancel_fee=2400000	variation_fee_end
variation_fee_begin	mineral_item_id=36718	fee_item_id=36719	fee_item_count=20	fee_adena=100	cancel_fee=100	variation_fee_end
variation_fee_begin	mineral_item_id=36979	fee_item_id=2133	fee_item_count=26	fee_adena=2400000	cancel_fee=2400000	variation_fee_end
variation_fee_begin	mineral_item_id=45933	fee_item_id=19440	fee_item_count=8	fee_adena=8933800	cancel_fee=8933800	variation_fee_end
variation_fee_begin	mineral_item_id=45934	fee_item_id=19440	fee_item_count=8	fee_adena=8933800	cancel_fee=8933800	variation_fee_end
variation_fee_begin	mineral_item_id=45935	fee_item_id=19440	fee_item_count=8	fee_adena=8933800	cancel_fee=8933800	variation_fee_end
variation_fee_begin	mineral_item_id=45936	fee_item_id=19440	fee_item_count=8	fee_adena=8933800	cancel_fee=8933800	variation_fee_end
variation_fee_begin	mineral_item_id=45937	fee_item_id=2133	fee_item_count=30	fee_adena=6985600	cancel_fee=6985600	variation_fee_end
variation_fee_begin	mineral_item_id=23385	fee_item_id=2133	fee_item_count=26	fee_adena=2400000	cancel_fee=2400000	variation_fee_end
variation_fee_begin	mineral_item_id=23803	fee_item_id=2133	fee_item_count=26	fee_adena=2400000	cancel_fee=2400000	variation_fee_end
variation_fee_begin	mineral_item_id=23804	fee_item_id=2133	fee_item_count=26	fee_adena=2400000	cancel_fee=2400000	variation_fee_end
variation_fee_begin	mineral_item_id=28485	fee_item_id=19440	fee_item_count=10	fee_adena=130000	cancel_fee=130000	variation_fee_end
variation_fee_begin	mineral_item_id=28597	fee_item_id=2133	fee_item_count=6	fee_adena=700000	cancel_fee=700000	variation_fee_end
variation_fee_begin	mineral_item_id=28598	fee_item_id=2133	fee_item_count=6	fee_adena=700000	cancel_fee=700000	variation_fee_end
variation_fee_begin	mineral_item_id=28599	fee_item_id=2133	fee_item_count=6	fee_adena=700000	cancel_fee=700000	variation_fee_end
variation_fee_begin	mineral_item_id=28600	fee_item_id=2133	fee_item_count=6	fee_adena=700000	cancel_fee=700000	variation_fee_end
variation_fee_begin	mineral_item_id=28601	fee_item_id=2133	fee_item_count=6	fee_adena=700000	cancel_fee=700000	variation_fee_end
variation_fee_begin	mineral_item_id=29165	fee_item_id=2133	fee_item_count=6	fee_adena=700000	cancel_fee=700000	variation_fee_end
variation_fee_begin	mineral_item_id=29166	fee_item_id=2133	fee_item_count=6	fee_adena=700000	cancel_fee=700000	variation_fee_end
variation_fee_begin	mineral_item_id=29167	fee_item_id=2133	fee_item_count=6	fee_adena=700000	cancel_fee=700000	variation_fee_end
variation_fee_begin	mineral_item_id=29168	fee_item_id=2133	fee_item_count=6	fee_adena=700000	cancel_fee=700000	variation_fee_end
variation_fee_begin	mineral_item_id=29169	fee_item_id=2133	fee_item_count=6	fee_adena=700000	cancel_fee=700000	variation_fee_end
variation_fee_begin	mineral_item_id=60439	fee_item_id=19440	fee_item_count=10	fee_adena=130000	cancel_fee=130000	variation_fee_end
variation_fee_begin	mineral_item_id=60440	fee_item_id=2133	fee_item_count=6	fee_adena=700000	cancel_fee=700000	variation_fee_end
variation_fee_begin	mineral_item_id=60441	fee_item_id=2133	fee_item_count=6	fee_adena=700000	cancel_fee=700000	variation_fee_end
variation_fee_begin	mineral_item_id=60442	fee_item_id=2133	fee_item_count=6	fee_adena=700000	cancel_fee=700000	variation_fee_end
variation_fee_begin	mineral_item_id=60443	fee_item_id=2133	fee_item_count=6	fee_adena=700000	cancel_fee=700000	variation_fee_end
variation_fee_begin	mineral_item_id=60444	fee_item_id=2133	fee_item_count=6	fee_adena=700000	cancel_fee=700000	variation_fee_end
